id,phrase,score,category
449,utilize,1.0,startwith
450,utilise,1.0,startwith
225,idea,2.0,word
226,ideas,2.0,word
227,suggestion,2.0,word
228,suggestions,2.0,word
229,help,2.0,word
230,helpful,2.0,word
231,better way,2.0,word
232,better approach,2.0,word
233,better solution,2.0,word
234,increase,1.5,startwith
235,improve,1.5,startwith
236,develop,1.5,startwith
237,developing,1.5,startwith
238,build,1.5,startwith
239,building,1.5,startwith
240,more,1.5,startwith
241,better,1.5,startwith
242,less,1.5,startwith
243,speed up,1.5,startwith
244,spend,1.5,startwith
245,stop,1.5,startwith
246,add,1.0,startwith
247,address,1.0,startwith
248,admire,1.0,startwith
249,admit,1.0,startwith
250,advise,1.0,startwith
251,afford,1.0,startwith
252,agree,1.0,startwith
253,alert,1.0,startwith
254,allow,1.0,startwith
255,analyse,1.0,startwith
256,analyze,1.0,startwith
257,announce,1.0,startwith
258,approve,1.0,startwith
259,argue,1.0,startwith
260,arrange,1.0,startwith
261,attach,1.0,startwith
262,attract,1.0,startwith
263,avoid,1.0,startwith
264,balance,1.0,startwith
265,ban,1.0,startwith
266,behave,1.0,startwith
267,blind,1.0,startwith
268,book,1.0,startwith
269,calculate,1.0,startwith
270,care,1.0,startwith
271,carry,1.0,startwith
272,challenge,1.0,startwith
273,charge,1.0,startwith
274,cheer,1.0,startwith
275,claim,1.0,startwith
276,clean,1.0,startwith
277,clear,1.0,startwith
278,coach,1.0,startwith
279,collect,1.0,startwith
280,command,1.0,startwith
281,compare,1.0,startwith
282,compete,1.0,startwith
283,complain,1.0,startwith
284,complete,1.0,startwith
285,concentrate,1.0,startwith
286,concern,1.0,startwith
287,confess,1.0,startwith
288,confuse,1.0,startwith
289,connect,1.0,startwith
290,consider,1.0,startwith
291,consist,1.0,startwith
292,contain,1.0,startwith
293,continue,1.0,startwith
294,copy,1.0,startwith
295,correct,1.0,startwith
296,cover,1.0,startwith
297,deliver,1.0,startwith
298,depend,1.0,startwith
299,delete,1.0,startwith
300,detect,1.0,startwith
301,disapprove,1.0,startwith
302,discover,1.0,startwith
303,divide,1.0,startwith
304,double,1.0,startwith
305,drop,1.0,startwith
306,educate,1.0,startwith
307,employ,1.0,startwith
308,encourage,1.0,startwith
309,enter,1.0,startwith
310,examine,1.0,startwith
311,excite,1.0,startwith
312,exercise,1.0,startwith
313,expand,1.0,startwith
314,expect,1.0,startwith
315,explain,1.0,startwith
316,extend,1.0,startwith
317,face,1.0,startwith
318,fasten,1.0,startwith
319,fetch,1.0,startwith
320,fill,1.0,startwith
321,fire,1.0,startwith
322,fit,1.0,startwith
323,fix,1.0,startwith
324,fold,1.0,startwith
325,follow,1.0,startwith
326,force,1.0,startwith
327,form,1.0,startwith
328,found,1.0,startwith
329,gather,1.0,startwith
330,glue,1.0,startwith
331,guarantee,1.0,startwith
332,guard,1.0,startwith
333,guide,1.0,startwith
334,handle,1.0,startwith
335,haunt,1.0,startwith
336,help,1.0,startwith
337,hunt,1.0,startwith
338,identify,1.0,startwith
339,ignore,1.0,startwith
340,imagine,1.0,startwith
341,include,1.0,startwith
342,inform,1.0,startwith
343,inject,1.0,startwith
344,intend,1.0,startwith
345,interfere,1.0,startwith
346,interrupt,1.0,startwith
347,introduce,1.0,startwith
348,invent,1.0,startwith
349,invite,1.0,startwith
350,join,1.0,startwith
351,kick,1.0,startwith
352,kill,1.0,startwith
353,land,1.0,startwith
354,launch,1.0,startwith
355,learn,1.0,startwith
356,level,1.0,startwith
357,list,1.0,startwith
358,load,1.0,startwith
359,lock,1.0,startwith
360,manage,1.0,startwith
361,mark,1.0,startwith
362,match,1.0,startwith
363,measure,1.0,startwith
364,mend,1.0,startwith
365,mix,1.0,startwith
366,move,1.0,startwith
367,need to,1.0,startwith
368,notice,1.0,startwith
369,obtain,1.0,startwith
370,offer,1.0,startwith
371,open,1.0,startwith
372,order,1.0,startwith
373,pack,1.0,startwith
374,pass,1.0,startwith
375,perform,1.0,startwith
376,permit,1.0,startwith
377,pick,1.0,startwith
378,possess,1.0,startwith
379,practise,1.0,startwith
380,practice,1.0,startwith
381,precede,1.0,startwith
382,preserve,1.0,startwith
383,prevent,1.0,startwith
384,produce,1.0,startwith
385,program,1.0,startwith
386,promise,1.0,startwith
387,protect,1.0,startwith
388,provide,1.0,startwith
389,push,1.0,startwith
390,raise,1.0,startwith
391,reach,1.0,startwith
392,realise,1.0,startwith
393,realize,1.0,startwith
394,receive,1.0,startwith
395,recognise,1.0,startwith
396,recognize,1.0,startwith
397,record,1.0,startwith
398,reduce,1.0,startwith
399,reject,1.0,startwith
400,rejoice,1.0,startwith
401,relax,1.0,startwith
402,release,1.0,startwith
403,rely,1.0,startwith
404,remain,1.0,startwith
405,remove,1.0,startwith
406,repair,1.0,startwith
407,repeat,1.0,startwith
408,replace,1.0,startwith
409,reply,1.0,startwith
410,report,1.0,startwith
411,reproduce,1.0,startwith
412,request,1.0,startwith
413,rescue,1.0,startwith
414,return,1.0,startwith
415,satisfy,1.0,startwith
416,save,1.0,startwith
417,scatter,1.0,startwith
418,search,1.0,startwith
419,serve,1.0,startwith
420,settle,1.0,startwith
421,skip,1.0,startwith
422,spark,1.0,startwith
423,start,1.0,startwith
424,stay,1.0,startwith
425,step,1.0,startwith
426,strengthen,1.0,startwith
427,stretch,1.0,startwith
428,strip,1.0,startwith
429,suggest,1.0,startwith
430,supply,1.0,startwith
431,support,1.0,startwith
432,switch,1.0,startwith
433,test,1.0,startwith
434,tick,1.0,startwith
435,tickle,1.0,startwith
436,tie,1.0,startwith
437,trace,1.0,startwith
438,trade,1.0,startwith
439,trust,1.0,startwith
440,try,1.0,startwith
441,turn,1.0,startwith
442,unite,1.0,startwith
443,visit,1.0,startwith
444,wait,1.0,startwith
445,weigh,1.0,startwith
446,welcome,1.0,startwith
447,decide,1.0,startwith
448,share,1.0,startwith
