id,phrase,polarityn,polarity,partofspeech,subjecttype,stemmed,polaritytype,personality,source
24698,big-headed,-1,negative,adj,strongsubj,False,,Yes,harvard
24699,bone-idle,-1,negative,adj,strongsubj,False,,Yes,harvard
24700,bossy,-1,negative,adj,strongsubj,False,,Yes,harvard
24701,cantankerous,-1,negative,adj,strongsubj,False,,Yes,harvard
24702,changeable,-1,negative,adj,strongsubj,False,,Yes,harvard
24703,clinging,-1,negative,adj,strongsubj,False,,Yes,harvard
24704,conservative,-1,negative,adj,strongsubj,False,,Yes,harvard
24705,cunning,-1,negative,adj,strongsubj,False,,Yes,harvard
24706,detached,-1,negative,adj,strongsubj,False,,Yes,harvard
24707,finicky,-1,negative,adj,strongsubj,False,,Yes,harvard
24708,flirtatious,-1,negative,adj,strongsubj,False,,Yes,harvard
24709,flirty,-1,negative,adj,strongsubj,False,,Yes,harvard
24710,grumpy,-1,negative,adj,strongsubj,False,,Yes,harvard
24711,interfering,-1,negative,adj,strongsubj,False,,Yes,harvard
24712,Machiavellian,-1,negative,adj,strongsubj,False,,Yes,harvard
24713,materialistic,-1,negative,adj,strongsubj,False,,Yes,harvard
24714,narrow-minded,-1,negative,adj,strongsubj,False,,Yes,harvard
24715,overcritical,-1,negative,adj,strongsubj,False,,Yes,harvard
24716,overemotional,-1,negative,adj,strongsubj,False,,Yes,harvard
24717,parsimonious,-1,negative,adj,strongsubj,False,,Yes,harvard
24718,patronizing,-1,negative,adj,strongsubj,False,,Yes,harvard
24719,possessive,-1,negative,adj,strongsubj,False,,Yes,harvard
24720,pusillanimous,-1,negative,adj,strongsubj,False,,Yes,harvard
24721,quick-tempered,-1,negative,adj,strongsubj,False,,Yes,harvard
24722,self-centred,-1,negative,adj,strongsubj,False,,Yes,harvard
24723,self-indulgent,-1,negative,adj,strongsubj,False,,Yes,harvard
24724,stingy,-1,negative,adj,strongsubj,False,,Yes,harvard
24725,tactless,-1,negative,adj,strongsubj,False,,Yes,harvard
24726,untidy,-1,negative,adj,strongsubj,False,,Yes,harvard
24727,weak-willed,-1,negative,adj,strongsubj,False,,Yes,harvard
24728,boorish,-1,negative,adj,strongsubj,False,,Yes,harvard
24729,creepy,-1,negative,adj,strongsubj,False,,Yes,harvard
24730,flippant,-1,negative,adj,strongsubj,False,,Yes,harvard
24731,furtive,-1,negative,adj,strongsubj,False,,Yes,harvard
24732,guarded,-1,negative,adj,strongsubj,False,,Yes,harvard
24733,unsuitable,-1,negative,adj,strongsubj,False,,Yes,harvard
24734,talkative,-1,negative,adj,strongsubj,False,,Yes,harvard
24735,abandoned,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
24736,abandonment,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
24737,aberration,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24738,aberration,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24739,abhorred,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24740,abhorrence,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24741,abhorrent,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24742,abhorrently,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
24743,abhors,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24744,abhors,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24745,abidance,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24746,abidance,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
24747,abject,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24748,abjectly,-1,negative,adverb,strongsubj,False,priorpolarity,No,mpqa
24749,abilities,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24750,ability,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24751,able,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24752,abnormal,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
24753,abominable,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24754,abominably,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
24755,abomination,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24756,above,1,positive,anypos,weaksubj,False,priorpolarity,No,mpqa
24757,above-average,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24758,abrasive,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24759,abrupt,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
24760,absence,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
24761,absent-minded,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24762,absolute,0,neutral,adj,strongsubj,False,priorpolarity,No,mpqa
24763,absolutely,0,neutral,adj,strongsubj,False,priorpolarity,No,mpqa
24764,absorbed,0,neutral,verb,weaksubj,False,priorpolarity,No,mpqa
24765,absurd,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
