keyword,class,category,industry
work with others,Collaboration,,
pointing out the problem,Collaboration,,
shares * experience with *,Collaboration,,
share * idea (AND) knowledge to others,Collaboration,,
initiative to let others know,Collaboration,,
collaborate with other team member,Collaboration,,
listen to suggestion,Collaboration,,
share * idea (AND) help other people,Collaboration,,
ask for other's opinion,Collaboration,,
good team work spirit,Collaboration,,
seek clarification,Collaboration,,
ask other people opinion,Collaboration,,
give * reason why * has such * idea,Collaboration,,
share * knowledge with * colleague,Collaboration,,
speaks with others,Collaboration,,
give * feedback,Collaboration,,
openness about * idea,Collaboration,,
work in harmony with the rest,Collaboration,,
share responsibilities with other team members,Collaboration,,
shown team spirit,Collaboration,,
team working.,Collaboration,,
whenever team needed he is there for to help them,Collaboration,,
cooperative,Collaboration,,
seek others help when needed,Collaboration,,
clarify before starting the * work,Collaboration,,
working fine with his partner,Collaboration,,
working as a team,Collaboration,,
update others as needed,Collaboration,,
High collaboration within member,Collaboration,,
easy to communicate,Collaboration,,
coordinate to each others,Collaboration,,
listen (AND) give * opinion,Collaboration,,
communicate clearly,Collaboration,,
contributes to the decision making,Collaboration,,
listen to instruction,Collaboration,,
ask for feedback,Collaboration,,
discuss with peers on things that require inputs,Collaboration,,
collaborative team members,Collaboration,,
willing to help others,Collaboration,,
give input during brainstorming ideas,Collaboration,,
work together with other colleague,Collaboration,,
give constructive suggestion,Collaboration,,
raise out possible issue,Collaboration,,
suggest (AND) giving opinion,Collaboration,,
works well with team mates,Collaboration,,
team driven person,Collaboration,,
easy to work with,Collaboration,,
gets along well with everyone,Collaboration,,
give suggestions (AND) help others when needed,Collaboration,,
confront people directly to solve problem,Collaboration,,
Work well in group,Collaboration,,
Work well with others.,Collaboration,,
Work well with people,Collaboration,,
Works well with his peers.,Collaboration,,
good rapo,Collaboration,,
interacting with his team members,Collaboration,,
doesn't shy away from responsibility,Collaboration,,
listen (AND) discuss with others,Collaboration,,
efficient in working with a team,Collaboration,,
work quite well with the team,Collaboration,,
provide his idea (AND) suggest during making decision,Collaboration,,
shares his ideas (AND) opinions,Collaboration,,
collaborating well with other developer.,Collaboration,,
helps others (AND) provides with valuable thoughts,Collaboration,,
provides input,Collaboration,,
sharing * decision,Collaboration,,
have peer discussion,Collaboration,,
share * view (AND) knowledge,Collaboration,,
share more on his opinion,Collaboration,,
update the group on his progression,Collaboration,,
provide suggestion in a team,Collaboration,,
helpful,Collaboration,,
nice to work with *,Collaboration,,
good mentor,Develops People,,
provide a good suggestions,Develops People,,
point out mistakes,Develops People,,
encouraging (AND) care for others,Develops People,,
share * views,Develops People,,
encourage developers,Develops People,,
give * insight,Develops People,,
making sure everyone around * understands,Develops People,,
regularly checks up on people,Develops People,,
encourages * progress,Develops People,,
Good foundation on *,Technical Foundation,,
Able to study (AND) implement,Apply New Learning,,
Know the basic knowledge on coding standard,Technical Foundation,,
finish task without much * help,Technical Foundation,,
Able to work quickly,Technical Foundation,,
sufficient foundation to perform,Technical Foundation,,
Able to write working code,Technical Foundation,,
knowing the implementation method,Technical Foundation,,
"basic in programming, web scrapping (AND) web development",Technical Foundation,,
technical skill,Technical Foundation,,
technical knowledge,Technical Foundation,,
have * technical foundation in *,Technical Foundation,,
work on his own (NEAR) on * development,Technical Foundation,,
enough skill (AND) knowledge to fit the job,Technical Foundation,,
got the expectation skill (AND) knowledge,Technical Foundation,,
relevant skill to complete * task,Technical Foundation,,
basic mobile development,Technical Foundation,,
good in * skills,Technical Foundation,,
strength is on the * area,Technical Foundation,,
Strong basic in *.,Technical Foundation,,
awareness of delay impact,Sense of Urgency,,
priotirizing tasks to fit the time line,Sense of Urgency,,
work (NEAR) if there is urgent,Sense of Urgency,,
make things done on time,Sense of Urgency,,
understands the priority of * issue,Sense of Urgency,,
understand the impact on the customer,Sense of Urgency,,
complete tasks by deadline,Sense of Urgency,,
proper scheduling,Sense of Urgency,,
make work done as soon as possible,Sense of Urgency,,
like to delay,Sense of Urgency,,
not to delay,Sense of Urgency,,
make sure * work done on time,Sense of Urgency,,
deliver the solutions without any delay,Sense of Urgency,,
plan the things according to priority,Sense of Urgency,,
understand the importance (AND) urgency,Sense of Urgency,,
arrange the risk of implement,Sense of Urgency,,
prioritize the module deployment,Sense of Urgency,,
sense of urgency (AND) impact of any delay,Sense of Urgency,,
overcome issues which causes delay,Sense of Urgency,,
keep track of projects (AND) timeline,Sense of Urgency,,
delay tasks,Sense of Urgency,,
prioritize to deliver on time.,Sense of Urgency,,
Tasks are scheduled by priority,Sense of Urgency,,
remind him for complete his task,Sense of Urgency,,
understands the impact of delay,Sense of Urgency,,
good awareness of urgency,Sense of Urgency,,
set the QAT date in earlier,Sense of Urgency,,
complete task * need to be rushed,Sense of Urgency,,
willing to work around the clock (AND) get * done,Sense of Urgency,,
know the urgency,Sense of Urgency,,
complete the testing before deadline,Sense of Urgency,,
prioritize the task,Sense of Urgency,,
